series_id,year,period,value,footnote_codes
PCU2121--2121--               ,2004,M09,106.5,
PCU2121--2121--               ,2004,M10,107.3,
PCU2121--2121--               ,2004,M11,107.2,
PCU2121--2121--               ,2004,M12,107.1,
PCU2121--2121--               ,2004,M13,104.1,
PCU2121--2121--               ,2005,M01,113.3,
PCU2121--2121--               ,2005,M02,114.1,
PCU2121--2121--               ,2005,M03,117.8,
PCU2121--2121--               ,2005,M04,119.1,
PCU2121--2121--               ,2005,M05,118.8,
PCU2121--2121--               ,2005,M06,118.6,
PCU2121--2121--               ,2005,M07,118.8,
PCU2121--2121--               ,2005,M08,118.8,
PCU2121--2121--               ,2005,M09,119,
PCU2121--2121--               ,2005,M10,119.5,
PCU2121--2121--               ,2005,M11,120.8,
PCU2121--2121--               ,2005,M12,120,
PCU2121--2121--               ,2005,M13,118.2,
PCU2121--2121--               ,2006,M01,126.1,
PCU2121--2121--               ,2006,M02,126.2,
PCU2121--2121--               ,2006,M03,127,
PCU2121--2121--               ,2006,M04,127.4,
PCU2121--2121--               ,2006,M05,127.5,
PCU2121--2121--               ,2006,M06,127.3,
PCU2121--2121--               ,2006,M07,126.8,
PCU2121--2121--               ,2006,M08,126.7,
PCU2121--2121--               ,2006,M09,127.2,
PCU2121--2121--               ,2006,M10,127,
PCU2121--2121--               ,2006,M11,126.6,
PCU2121--2121--               ,2006,M12,127.2,
PCU2121--2121--               ,2006,M13,126.9,
PCU2121--2121--               ,2007,M01,128.8,
PCU2121--2121--               ,2007,M02,129.8,
PCU2121--2121--               ,2007,M03,131.8,
PCU2121--2121--               ,2007,M04,131.4,
PCU2121--2121--               ,2007,M05,130.1,
PCU2121--2121--               ,2007,M06,130.4,
PCU2121--2121--               ,2007,M07,130.9,
PCU2121--2121--               ,2007,M08,130.4,
PCU2121--2121--               ,2007,M09,130.6,
PCU2121--2121--               ,2007,M10,130.4,
PCU2121--2121--               ,2007,M11,131,
PCU2121--2121--               ,2007,M12,131.7,
PCU2121--2121--               ,2007,M13,130.6,
PCU2121--2121--               ,2008,M01,138.1,
PCU2121--2121--               ,2008,M02,139.4,
PCU2121--2121--               ,2008,M03,141.8,
PCU2121--2121--               ,2008,M04,164.8,
PCU2121--2121--               ,2008,M05,165.5,
PCU2121--2121--               ,2008,M06,165.6,
PCU2121--2121--               ,2008,M07,170.9,
